2023-05-02 02:48:20 status half-installed ngrep:amd64 1.47+ds1-2
2023-05-02 02:48:20 status unpacked ngrep:amd64 1.47+ds1-2
2023-05-02 02:48:20 install nmap-common:all <none> 7.91+dfsg1+really7.80+dfsg1-2
2023-05-02 02:48:20 status half-installed nmap-common:all 7.91+dfsg1+really7.80+dfsg1-2
2023-05-02 02:48:22 status unpacked nmap-common:all 7.91+dfsg1+really7.80+dfsg1-2
2023-05-02 02:48:22 install nmap:amd64 <none> 7.91+dfsg1+really7.80+dfsg1-2
2023-05-02 02:48:22 status half-installed nmap:amd64 7.91+dfsg1+really7.80+dfsg1-2
2023-05-02 02:48:22 status unpacked nmap:amd64 7.91+dfsg1+really7.80+dfsg1-2
2023-05-02 02:48:22 install tree:amd64 <none> 1.8.0-1+b1
2023-05-02 02:48:22 status half-installed tree:amd64 1.8.0-1+b1
2023-05-02 02:48:22 status unpacked tree:amd64 1.8.0-1+b1
2023-05-02 02:48:23 install tsocks:amd64 <none> 1.8beta5+ds1-1+b1
2023-05-02 02:48:23 status half-installed tsocks:amd64 1.8beta5+ds1-1+b1
2023-05-02 02:48:23 status unpacked tsocks:amd64 1.8beta5+ds1-1+b1
2023-05-02 02:48:23 install whois:amd64 <none> 5.5.10
2023-05-02 02:48:23 status half-installed whois:amd64 5.5.10
2023-05-02 02:48:23 status unpacked whois:amd64 5.5.10
2023-05-02 02:48:23 startup packages configure
2023-05-02 02:48:23 configure libxau6:amd64 1:1.0.9-1 <none>
2023-05-02 02:48:23 status unpacked libxau6:amd64 1:1.0.9-1
2023-05-02 02:48:23 status half-configured libxau6:amd64 1:1.0.9-1
2023-05-02 02:48:23 status installed libxau6:amd64 1:1.0.9-1
2023-05-02 02:48:23 configure libxdmcp6:amd64 1:1.1.2-3 <none>
2023-05-02 02:48:23 status unpacked libxdmcp6:amd64 1:1.1.2-3
2023-05-02 02:48:23 status half-configured libxdmcp6:amd64 1:1.1.2-3
2023-05-02 02:48:23 status installed libxdmcp6:amd64 1:1.1.2-3
2023-05-02 02:48:23 configure lua-lpeg:amd64 1.0.2-1 <none>
2023-05-02 02:48:23 status unpacked lua-lpeg:amd64 1.0.2-1
2023-05-02 02:48:23 status half-configured lua-lpeg:amd64 1.0.2-1
2023-05-02 02:48:23 status installed lua-lpeg:amd64 1.0.2-1
2023-05-02 02:48:23 configure libxcb1:amd64 1.14-3 <none>
2023-05-02 02:48:23 status unpacked libxcb1:amd64 1.14-3
2023-05-02 02:48:23 status half-configured libxcb1:amd64 1.14-3
2023-05-02 02:48:23 status installed libxcb1:amd64 1.14-3
2023-05-02 02:48:23 configure whois:amd64 5.5.10 <none>
2023-05-02 02:48:23 status unpacked whois:amd64 5.5.10
2023-05-02 02:48:23 status half-configured whois:amd64 5.5.10
2023-05-02 02:48:23 status installed whois:amd64 5.5.10
2023-05-02 02:48:23 configure netcat-openbsd:amd64 1.217-3 <none>
2023-05-02 02:48:23 status unpacked netcat-openbsd:amd64 1.217-3
2023-05-02 02:48:23 status half-configured netcat-openbsd:amd64 1.217-3
2023-05-02 02:48:23 status installed netcat-openbsd:amd64 1.217-3
2023-05-02 02:48:23 configure x11-common:all 1:7.7+22 <none>
2023-05-02 02:48:23 status unpacked x11-common:all 1:7.7+22
2023-05-02 02:48:23 status half-configured x11-common:all 1:7.7+22
2023-05-02 02:48:24 status installed x11-common:all 1:7.7+22
2023-05-02 02:48:24 configure tsocks:amd64 1.8beta5+ds1-1+b1 <none>
2023-05-02 02:48:24 status unpacked tsocks:amd64 1.8beta5+ds1-1+b1
2023-05-02 02:48:24 status half-configured tsocks:amd64 1.8beta5+ds1-1+b1
2023-05-02 02:48:24 status installed tsocks:amd64 1.8beta5+ds1-1+b1
2023-05-02 02:48:24 configure libnet1:amd64 1.1.6+dfsg-3.1 <none>
2023-05-02 02:48:24 status unpacked libnet1:amd64 1.1.6+dfsg-3.1
2023-05-02 02:48:24 status half-configured libnet1:amd64 1.1.6+dfsg-3.1
2023-05-02 02:48:24 status installed libnet1:amd64 1.1.6+dfsg-3.1
2023-05-02 02:48:24 configure inetutils-traceroute:amd64 2:2.0-1+deb11u1 <none>
2023-05-02 02:48:24 status unpacked inetutils-traceroute:amd64 2:2.0-1+deb11u1
2023-05-02 02:48:24 status half-configured inetutils-traceroute:amd64 2:2.0-1+deb11u1
2023-05-02 02:48:24 status installed inetutils-traceroute:amd64 2:2.0-1+deb11u1
2023-05-02 02:48:24 configure libblas3:amd64 3.9.0-3 <none>
2023-05-02 02:48:24 status unpacked libblas3:amd64 3.9.0-3
2023-05-02 02:48:24 status half-configured libblas3:amd64 3.9.0-3
2023-05-02 02:48:24 status installed libblas3:amd64 3.9.0-3
2023-05-02 02:48:24 configure libnids1.21:amd64 1.25-1 <none>
2023-05-02 02:48:24 status unpacked libnids1.21:amd64 1.25-1
2023-05-02 02:48:24 status half-configured libnids1.21:amd64 1.25-1
2023-05-02 02:48:24 status installed libnids1.21:amd64 1.25-1
2023-05-02 02:48:24 configure libx11-data:all 2:1.7.2-1 <none>
2023-05-02 02:48:24 status unpacked libx11-data:all 2:1.7.2-1
2023-05-02 02:48:24 status half-configured libx11-data:all 2:1.7.2-1
2023-05-02 02:48:24 status installed libx11-data:all 2:1.7.2-1
2023-05-02 02:48:24 configure tree:amd64 1.8.0-1+b1 <none>
2023-05-02 02:48:24 status unpacked tree:amd64 1.8.0-1+b1
2023-05-02 02:48:24 status half-configured tree:amd64 1.8.0-1+b1
2023-05-02 02:48:24 status installed tree:amd64 1.8.0-1+b1
2023-05-02 02:48:24 configure inetutils-ping:amd64 2:2.0-1+deb11u1 <none>
2023-05-02 02:48:24 status unpacked inetutils-ping:amd64 2:2.0-1+deb11u1
2023-05-02 02:48:24 status half-configured inetutils-ping:amd64 2:2.0-1+deb11u1
2023-05-02 02:48:24 status installed inetutils-ping:amd64 2:2.0-1+deb11u1
2023-05-02 02:48:24 configure nmap-common:all 7.91+dfsg1+really7.80+dfsg1-2 <none>
2023-05-02 02:48:24 status unpacked nmap-common:all 7.91+dfsg1+really7.80+dfsg1-2
2023-05-02 02:48:24 status half-configured nmap-common:all 7.91+dfsg1+really7.80+dfsg1-2
2023-05-02 02:48:24 status installed nmap-common:all 7.91+dfsg1+really7.80+dfsg1-2
2023-05-02 02:48:24 configure liblua5.3-0:amd64 5.3.3-1.1+b1 <none>
2023-05-02 02:48:24 status unpacked liblua5.3-0:amd64 5.3.3-1.1+b1
2023-05-02 02:48:24 status half-configured liblua5.3-0:amd64 5.3.3-1.1+b1
2023-05-02 02:48:24 status installed liblua5.3-0:amd64 5.3.3-1.1+b1
2023-05-02 02:48:24 configure libx11-6:amd64 2:1.7.2-1 <none>
2023-05-02 02:48:24 status unpacked libx11-6:amd64 2:1.7.2-1
2023-05-02 02:48:24 status half-configured libx11-6:amd64 2:1.7.2-1
2023-05-02 02:48:24 status installed libx11-6:amd64 2:1.7.2-1
2023-05-02 02:48:24 configure bind9-dnsutils:amd64 1:9.16.37-1~deb11u1 <none>
2023-05-02 02:48:24 status unpacked bind9-dnsutils:amd64 1:9.16.37-1~deb11u1
2023-05-02 02:48:24 status half-configured bind9-dnsutils:amd64 1:9.16.37-1~deb11u1
2023-05-02 02:48:24 status installed bind9-dnsutils:amd64 1:9.16.37-1~deb11u1
2023-05-02 02:48:24 configure inetutils-tools:amd64 2:2.0-1+deb11u1 <none>
2023-05-02 02:48:24 status unpacked inetutils-tools:amd64 2:2.0-1+deb11u1
2023-05-02 02:48:24 status half-configured inetutils-tools:amd64 2:2.0-1+deb11u1
2023-05-02 02:48:24 status installed inetutils-tools:amd64 2:2.0-1+deb11u1
2023-05-02 02:48:24 configure libice6:amd64 2:1.0.10-1 <none>
2023-05-02 02:48:24 status unpacked libice6:amd64 2:1.0.10-1
2023-05-02 02:48:24 status half-configured libice6:amd64 2:1.0.10-1
2023-05-02 02:48:24 status installed libice6:amd64 2:1.0.10-1
2023-05-02 02:48:24 configure ngrep:amd64 1.47+ds1-2 <none>
2023-05-02 02:48:24 status unpacked ngrep:amd64 1.47+ds1-2
2023-05-02 02:48:24 status half-configured ngrep:amd64 1.47+ds1-2
2023-05-02 02:48:24 status installed ngrep:amd64 1.47+ds1-2
2023-05-02 02:48:24 configure libxext6:amd64 2:1.3.3-1.1 <none>
2023-05-02 02:48:24 status unpacked libxext6:amd64 2:1.3.3-1.1
2023-05-02 02:48:24 status half-configured libxext6:amd64 2:1.3.3-1.1
2023-05-02 02:48:24 status installed libxext6:amd64 2:1.3.3-1.1
2023-05-02 02:48:24 configure dnsutils:all 1:9.16.37-1~deb11u1 <none>
2023-05-02 02:48:24 status unpacked dnsutils:all 1:9.16.37-1~deb11u1
2023-05-02 02:48:24 status half-configured dnsutils:all 1:9.16.37-1~deb11u1
2023-05-02 02:48:24 status installed dnsutils:all 1:9.16.37-1~deb11u1
2023-05-02 02:48:24 configure liblinear4:amd64 2.3.0+dfsg-5 <none>
